getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Times-Roman, size=35.7075, h=35.350425
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Times-Roman, size=35.7075, h=35.350425
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Times-Roman, size=35.7075, h=35.350425
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Times-Roman, size=35.7075, h=35.350425
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=15, h=15.2625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=15, h=15.2625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=15, h=15.2625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.04375, h=8.184515625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.04375, h=8.184515625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.5, h=10.68375
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.5, h=10.68375
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.04375, h=8.184515625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.04375, h=8.184515625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.04375, h=8.184515625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.5, h=10.68375
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.5, h=10.68375
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.04375, h=8.184515625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.04375, h=8.184515625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.04375, h=8.184515625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.5, h=10.68375
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=10.5, h=10.68375
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.04375, h=8.184515625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=8.04375, h=8.184515625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
getFontHeight: font=/var/www/html/extra_work/inventory_management/application/libraries/dompdf/lib/fonts/Helvetica, size=9.75, h=9.920625
